customerid,name,country,state,gender,dob,interests,pincode
CUST-0559,Anita Begum,Bangladesh,Rajshahi,Male,1973-10-11,"Kids, Action, Romance",3418
CUST-0560,David Brown,India,Delhi,Male,1988-02-14,"Romance, Sports, Sci-Fi",7619
CUST-0561,Sumaiya Rahman,Bangladesh,Sylhet,Male,1995-02-02,"Comedy, Crime, Documentary",5509
CUST-0562,Bikash Gupta,Bangladesh,Dhaka,Female,1991-04-29,"Sports, Documentary, Horror",3967
CUST-0563,David Garcia,Nepal,Lumbini,Male,2001-06-19,"Action, Sci-Fi, Anime",9684
CUST-0564,Anjali Hossain,Bangladesh,Dhaka,Female,1996-03-09,Action,3015
CUST-0565,Karim Khan,India,Karnataka,Male,1989-06-03,Sci-Fi,5068
CUST-0566,Priya Rahman,Nepal,Gandaki,Female,1980-10-18,"Anime, Musical, Thriller",1732
CUST-0567,Sumaiya Rahman,Bangladesh,Chittagong,Male,1997-09-15,"Sci-Fi, Comedy, Anime",3675
CUST-0568,Laura Jones,Bangladesh,Unknown,Female,1973-08-23,"Romance, Sports, Kids",3687
CUST-0569,James Gurung,Bangladesh,Unknown,Male,1983-04-01,Romance,6464
CUST-0570,Meena Uddin,Bangladesh,Dhaka,Male,1970-07-17,Anime,9021
CUST-0571,Tanvir Miller,Bangladesh,Sylhet,Female,1998-09-23,"Drama, Romance",9711
CUST-0572,Pooja Verma,Nepal,Unknown,Female,1971-05-27,"Sports, Reality TV",7064
CUST-0573,Anita Shrestha,Bangladesh,Rajshahi,Male,1977-05-17,"Anime, Reality TV",6000
CUST-0574,Bikash Rai,Bangladesh,Khulna,Male,1972-05-29,"Action, Comedy, Reality TV",1175
CUST-0575,Olivia Kumar,Bangladesh,Sylhet,Female,2027-03-12,"Anime, Reality TV, Romance",9652
CUST-0576,Gita Verma,Bangladesh,Sylhet,Male,1967-04-15,"Documentary, Sci-Fi",6537
CUST-0577,Gita Alam,India,West Bengal,Male,1974-10-03,"Musical, Kids",8586
CUST-0578,Kavita Rai,Unknown,Rajshahi,Male,1973-05-09,"Romance, Action",2388
CUST-0579,Neha Miller,Nepal,Gandaki,Female,1981-10-16,"Romance, Sci-Fi",5415
CUST-0580,Tanvir Jones,India,Unknown,Female,1973-07-03,"Action, Drama",1517
CUST-0581,Sabbir Kumar,Bangladesh,Khulna,Female,1979-07-29,"Anime, Reality TV",7370
CUST-0582,Hasan Chowdhury,Nepal,Gandaki,Male,1984-04-10,"Reality TV, Action, Sci-Fi",2353
CUST-0583,Ravi Brown,Bangladesh,Chittagong,Male,1976-02-05,"Fantasy, Sci-Fi, Thriller",2688
CUST-0584,Ramesh Singh,Bangladesh,Sylhet,Male,1973-08-15,Unknown,1834
CUST-0585,David Brown,Bangladesh,Unknown,Male,1977-01-29,"Horror, Romance",1779
CUST-0586,Nila Rahman,Bangladesh,Rajshahi,Male,1987-01-15,"Romance, Horror",3134
CUST-0587,Emily Johnson,India,Tamil Nadu,Male,2004-10-18,Drama,1672
CUST-0588,Divya Adhikari,Nepal,Unknown,Female,1986-04-10,Anime,ABCDE
CUST-0589,James Davis,India,West Bengal,Male,1987-08-09,Drama,3112
CUST-0590,Shakil Rahman,Nepal,Lumbini,Male,1988-01-13,Drama,7393
CUST-0591,Laura Verma,Unknown,Sylhet,Male,1996-09-30,"Anime, Horror, Fantasy",5399
CUST-0592,Pooja Chowdhury,Bangladesh,Khulna,Unknown,1977-02-17,Kids,4440
CUST-0593,Suresh Chowdhury,Bangladesh,Khulna,Female,1970-12-30,"Musical, Sports",1170
CUST-0594,Michael Alam,India,Delhi,Female,1993-02-03,"Sports, Anime, Thriller",5403
CUST-0595,Payel Sharma,India,Maharashtra,Female,1985-08-10,Fantasy,9036
CUST-0596,Deepak Akter,India,Maharashtra,Male,1976-01-02,"Musical, Kids",9630
CUST-0597,Hasan Singh,India,Unknown,Female,1970-12-06,Crime,1221
CUST-0598,Ahmed Thapa,Bangladesh,Dhaka,Female,1978-10-16,"Documentary, Drama",5382
CUST-0599,Bikash Davis,Bangladesh,Khulna,Female,2026-08-18,Thriller,5699
CUST-0600,Rifat Adhikari,Nepal,Lumbini,Unknown,1977-08-23,"Comedy, Sports",2389
